Set test time: 1900 s
=========Thermal Cap[pxa1936ff]==========
time temp CPU0 CPU4 GC2D GC3D DDR
0 45000 624000 832000 78000 624000 416000
1 45000 416000 624000 78000 156000 312000
2 45000 416000 624000 78000 156000 312000
3 46000 416000 624000 78000 156000 416000
4 45000 416000 624000 78000 156000 312000
6 45000 416000 624000 78000 156000 312000
7 45000 416000 624000 78000 156000 312000
8 46000 416000 624000 78000 156000 416000
9 46000 416000 624000 78000 156000 312000
10 45000 416000 416000 78000 156000 312000
11 45000 624000 832000 78000 156000 416000
12 45000 624000 832000 78000 156000 312000
13 45000 416000 624000 78000 156000 312000
14 45000 416000 624000 78000 156000 312000
15 46000 416000 624000 78000 156000 312000
16 45000 416000 624000 78000 156000 312000
17 45000 624000 832000 78000 156000 312000
18 46000 416000 624000 78000 156000 312000
19 45000 416000 624000 78000 156000 416000
20 45000 416000 624000 78000 156000 312000
21 45000 624000 832000 78000 156000 416000
22 45000 416000 624000 78000 156000 312000
23 45000 624000 624000 78000 156000 528000
24 46000 416000 624000 78000 156000 312000
26 46000 624000 832000 78000 156000 416000
27 46000 416000 624000 78000 156000 312000
28 47000 416000 624000 78000 156000 528000
29 46000 416000 624000 78000 156000 312000
30 47000 832000 1526000 78000 156000 528000
31 47000 416000 624000 312000 156000 312000
32 45000 416000 624000 78000 156000 156000
33 43000 416000 624000 78000 156000 156000
34 42000 624000 832000 78000 156000 156000
35 41000 416000 624000 78000 156000 156000
36 41000 416000 624000 78000 156000 156000
37 41000 416000 624000 78000 156000 156000
38 40000 416000 624000 78000 156000 156000
39 40000 416000 624000 78000 156000 156000
40 40000 416000 624000 78000 156000 156000
41 40000 416000 624000 78000 156000 156000
42 39000 416000 416000 78000 156000 156000
43 39000 416000 624000 78000 156000 156000
44 39000 416000 624000 78000 156000 156000
45 39000 416000 624000 78000 156000 156000
47 39000 416000 624000 78000 156000 156000
48 39000 416000 624000 78000 156000 156000
49 38000 416000 624000 78000 156000 156000
50 38000 416000 624000 78000 156000 156000
51 38000 416000 624000 78000 156000 156000
52 38000 416000 624000 78000 156000 156000
53 38000 416000 624000 78000 156000 156000
54 38000 416000 624000 78000 156000 156000
55 38000 416000 624000 78000 156000 156000
56 38000 416000 624000 78000 156000 156000
57 38000 416000 624000 78000 156000 156000
58 38000 416000 624000 78000 156000 156000
59 38000 416000 624000 78000 156000 156000
60 38000 416000 624000 78000 156000 156000
61 38000 416000 624000 78000 156000 156000
62 38000 416000 624000 78000 156000 156000
63 38000 416000 624000 78000 156000 156000
64 38000 416000 624000 78000 156000 156000
65 38000 416000 624000 78000 156000 156000
66 38000 416000 624000 78000 156000 156000
67 38000 416000 624000 78000 156000 156000
69 38000 416000 624000 78000 156000 156000
70 37000 416000 624000 78000 156000 156000
71 37000 416000 624000 78000 156000 156000
72 37000 416000 624000 78000 156000 156000
73 37000 416000 624000 78000 156000 156000
74 37000 416000 624000 78000 156000 156000
75 37000 416000 624000 78000 156000 156000
76 37000 416000 624000 78000 156000 156000
77 37000 416000 624000 78000 156000 156000
78 37000 416000 624000 78000 156000 156000
79 37000 416000 624000 78000 156000 156000
80 37000 416000 624000 78000 156000 156000
81 37000 416000 624000 78000 156000 156000
82 37000 416000 624000 78000 156000 156000
83 37000 416000 624000 78000 156000 156000
84 37000 416000 624000 78000 156000 156000
85 37000 416000 624000 78000 156000 156000
86 37000 416000 624000 78000 156000 156000
87 37000 416000 624000 78000 156000 156000
88 37000 416000 624000 78000 156000 156000
90 37000 416000 624000 78000 156000 156000
91 37000 416000 624000 78000 156000 156000
92 37000 416000 624000 78000 156000 156000
93 37000 416000 624000 78000 156000 156000
94 37000 416000 624000 78000 156000 156000
95 37000 416000 624000 78000 156000 156000
96 37000 416000 624000 78000 156000 156000
97 37000 416000 624000 78000 156000 156000
98 37000 416000 624000 78000 156000 156000
99 37000 416000 624000 78000 156000 156000
100 37000 416000 624000 78000 156000 156000
101 37000 416000 624000 78000 156000 156000
102 36000 416000 624000 78000 156000 156000
