Set test time: 1900 s
=========Thermal Cap[pxa1936ff]==========
time temp CPU0 CPU4 GC2D GC3D DDR
0 38000 416000 624000 78000 156000 156000
1 38000 416000 416000 78000 156000 156000
2 38000 416000 624000 78000 156000 156000
3 38000 416000 624000 78000 156000 156000
4 38000 416000 624000 78000 156000 156000
5 38000 416000 624000 78000 156000 156000
6 38000 416000 624000 78000 156000 156000
7 38000 416000 624000 78000 156000 156000
8 40000 416000 624000 312000 156000 312000
9 40000 416000 624000 78000 156000 156000
10 39000 624000 832000 78000 156000 156000
11 39000 416000 624000 78000 156000 156000
12 39000 624000 832000 78000 156000 156000
13 39000 416000 624000 78000 156000 156000
14 39000 416000 624000 78000 156000 156000
15 38000 416000 624000 78000 156000 156000
16 38000 416000 624000 78000 156000 156000
17 38000 416000 624000 78000 156000 156000
18 38000 416000 624000 78000 156000 156000
19 38000 416000 624000 78000 156000 156000
21 38000 416000 624000 78000 156000 156000
22 38000 416000 624000 78000 156000 156000
23 38000 416000 624000 78000 156000 156000
24 38000 416000 624000 78000 156000 156000
25 38000 416000 624000 78000 156000 156000
26 38000 416000 624000 78000 156000 156000
27 38000 416000 624000 78000 156000 156000
28 38000 416000 624000 78000 156000 156000
29 38000 416000 624000 78000 156000 156000
30 38000 416000 624000 78000 156000 156000
31 38000 416000 624000 78000 156000 156000
32 38000 416000 624000 78000 156000 156000
33 38000 416000 624000 78000 156000 156000
34 38000 416000 624000 78000 156000 156000
35 38000 416000 624000 78000 156000 156000
36 38000 416000 624000 78000 156000 156000
37 38000 416000 624000 78000 156000 156000
38 38000 416000 624000 78000 156000 156000
39 38000 416000 624000 78000 156000 156000
40 38000 416000 624000 78000 156000 156000
42 38000 416000 624000 78000 156000 156000
43 38000 416000 624000 78000 156000 156000
44 38000 416000 624000 78000 156000 156000
45 38000 416000 624000 78000 156000 156000
46 38000 416000 624000 78000 156000 156000
47 38000 416000 624000 78000 156000 156000
48 38000 416000 624000 78000 156000 156000
49 38000 416000 624000 78000 156000 156000
50 38000 416000 624000 78000 156000 156000
51 38000 416000 624000 78000 156000 156000
52 38000 416000 624000 78000 156000 156000
53 38000 416000 624000 78000 156000 156000
54 38000 416000 624000 78000 156000 156000
55 38000 416000 624000 78000 156000 156000
56 38000 416000 624000 78000 156000 156000
57 38000 416000 624000 78000 156000 156000
58 38000 416000 624000 78000 156000 156000
59 38000 416000 624000 78000 156000 156000
60 38000 416000 624000 78000 156000 156000
61 38000 416000 624000 78000 156000 156000
63 38000 416000 624000 78000 156000 156000
64 38000 416000 624000 78000 156000 156000
65 38000 416000 624000 78000 156000 156000
66 38000 416000 624000 78000 156000 156000
67 38000 416000 624000 78000 156000 156000
68 38000 416000 624000 78000 156000 156000
69 38000 416000 624000 78000 156000 156000
70 38000 416000 624000 78000 156000 156000
71 38000 416000 624000 78000 156000 156000
72 38000 416000 624000 78000 156000 156000
73 38000 416000 624000 78000 156000 156000
74 38000 416000 624000 78000 156000 156000
75 38000 416000 624000 78000 156000 156000
76 38000 416000 624000 78000 156000 156000
77 38000 416000 624000 78000 156000 156000
78 38000 416000 624000 78000 156000 156000
79 38000 416000 624000 78000 156000 156000
80 38000 416000 624000 78000 156000 156000
81 38000 416000 624000 78000 156000 156000
82 38000 416000 624000 78000 156000 156000
83 38000 416000 624000 78000 156000 156000
85 38000 416000 624000 78000 156000 156000
86 38000 416000 624000 78000 156000 156000
87 38000 416000 624000 78000 156000 156000
88 38000 416000 624000 78000 156000 156000
89 37000 416000 624000 78000 156000 156000
90 37000 416000 624000 78000 156000 156000
91 37000 416000 624000 78000 156000 156000
92 37000 416000 624000 78000 156000 156000
93 37000 416000 624000 78000 156000 156000
94 37000 416000 624000 78000 156000 156000
95 37000 416000 624000 78000 156000 156000
96 37000 416000 624000 78000 156000 156000
97 37000 416000 624000 78000 156000 156000
98 37000 416000 624000 78000 156000 156000
99 37000 416000 624000 78000 156000 156000
100 37000 416000 624000 78000 156000 156000
101 37000 416000 624000 78000 156000 156000
102 37000 416000 624000 78000 156000 156000
103 37000 416000 624000 78000 156000 156000
104 37000 416000 624000 78000 156000 156000
105 37000 416000 624000 78000 156000 156000
107 37000 416000 624000 78000 156000 156000
108 37000 416000 624000 78000 156000 156000
109 37000 416000 624000 78000 156000 156000
110 37000 416000 624000 78000 156000 156000
111 37000 416000 624000 78000 156000 156000
112 37000 416000 624000 78000 156000 156000
113 37000 416000 624000 78000 156000 156000
114 37000 416000 624000 78000 156000 156000
115 37000 416000 624000 78000 156000 156000
116 37000 416000 624000 78000 156000 156000
117 37000 416000 624000 78000 156000 156000
118 37000 416000 624000 78000 156000 156000
119 37000 416000 624000 78000 156000 156000
120 37000 416000 624000 78000 156000 156000
121 37000 416000 624000 78000 156000 156000
122 37000 416000 624000 78000 156000 156000
123 37000 416000 624000 78000 156000 156000
124 37000 416000 624000 78000 156000 156000
125 37000 416000 624000 78000 156000 156000
